title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
Dark Desire,"https://m.media-amazon.com/images/M/MV5BMmMzMDI4NzMtZGMyYS00MjJhLWI0OWUtMTYxZDZlMjMzYjk0XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY98_CR1,0,67,98_AL_.jpg",60 min,"Drama, Mystery, Thriller",18,6.5,34.0,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.","1,027",
Ozark,"https://m.media-amazon.com/images/M/MV5BM2Q3MjQ3NDAtZDk4NS00MDIwLTllZGUtMmY1ZDU2OTJkNGY2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Crime, Drama, Thriller",16+,8.4,34.0,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","164,533",
Agents of S.H.I.E.L.D.,"https://m.media-amazon.com/images/M/MV5BOTJhMjhhZDItZTQxMi00NGM3LTliZjYtMjcyMWE2YzYwNTA0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY98_CR5,0,67,98_AL_.jpg",45 min,"Action, Adventure, Drama",16+,7.5,34.0,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","192,723",
Hanna,"https://m.media-amazon.com/images/M/MV5BNTUxMjZhYmItOWVmOC00NTc4LTg5ODYtOGY1MzUxNThmNWJkXkEyXkFqcGdeQXVyNjcyNjcyMzQ@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Action, Drama",16,7.5,34.0,"In equal parts high-concept thriller and coming-of-age drama, HANNA follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is.","22,067",
Suits,"https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",44 min,"Comedy, Drama",13+,8.5,34.0,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.","350,591",
Peaky Blinders,"https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Crime, Drama",A,8.8,34.0,"A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","301,263",
Stranger Things,"https://m.media-amazon.com/images/M/MV5BMjEzMDAxOTUyMV5BMl5BanBnXkFtZTgwNzAxMzYzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg",51 min,"Drama, Fantasy, Horror",15,8.8,34.0,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","756,124",
Absentia,"https://m.media-amazon.com/images/M/MV5BNmFiNDI5ODUtODQ2ZC00ZjUwLWFhYjQtMjk3MmMzZjY1ZWU2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Crime, Drama, Mystery",16,7.3,34.0,"After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders.","10,497",
Fatal Affair,"https://m.media-amazon.com/images/M/MV5BODA1M2Y5NjktYmI0NS00ZWU4LWJhODMtZGM3MjE1NTE4YzIzXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX67_CR0,0,67,98_AL_.jpg",89 min,"Drama, Thriller",16,4.4,34.0,"Ellie tries to mend her marriage with her husband Marcus after a brief encounter with an old friend, David, only to find that David is more dangerous and unstable than she'd realized.","2,913",
Doom Patrol,"https://m.media-amazon.com/images/M/MV5BM2I1OWZiNTUtZGNmOS00NGNiLTlhZmItOTU3MGRlMWFkYWU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Action, Adventure, Comedy",12+,8.0,83.0,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,"28,006",
