title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
In the Heights,"https://m.media-amazon.com/images/M/MV5BNjNkNWY3YmYtYmQ2YS00ZDFkLTk5YTktNDFmNDM2ZWE1YTk4XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX67_CR0,0,67,98_AL_.jpg",179 min,"Drama, Music, Musical",U,6.6,70.0,"A feature version of the Broadway musical, in which a bodega owner has mixed feelings about closing his store and retiring to the Dominican Republic after inheriting his grandmother's fortune.","5,793",$31.10M
Camelot,"https://m.media-amazon.com/images/M/MV5BYTc5MjU3MTYtYTI0Yi00MDA1LTgzOTAtZGRiY2MxNTVhYTJkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX67_CR0,0,67,98_AL_.jpg",179 min,"Adventure, Fantasy, Musical",U,6.6,70.0,"The story of the marriage of England's King Arthur to Guinevere. The plot of illegitimate Mordred to gain the throne and Guinevere's growing attachment to Sir Lancelot, threaten to topple Arthur and destroy his ""round table"" of knights.","5,793",$31.10M
West Side Story,"https://m.media-amazon.com/images/M/MV5BY2M5MDlhYmYtODdjZS00NWI0LTk2NTQtMTg3NjEzYmU5NTllXkEyXkFqcGdeQXVyNTk5NTQzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",93 min,"Crime, Drama, Musical",U,7.3,74.0,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.","199,172",$99.05M
Hercules,"https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_UX67_CR0,0,67,98_AL_.jpg",93 min,"Animation, Adventure, Comedy",U,7.3,74.0,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,"199,172",$99.05M
Labyrinth,"https://m.media-amazon.com/images/M/MV5BMjM2MDE4OTQwOV5BMl5BanBnXkFtZTgwNjgxMTg2NzE@._V1_UX67_CR0,0,67,98_AL_.jpg",101 min,"Adventure, Family, Fantasy",U,7.4,50.0,Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.,"120,735",$12.73M
The Ballad of Buster Scruggs,"https://m.media-amazon.com/images/M/MV5BYjRkYTI3M2EtZWQ4Ny00OTA2LWFmMTMtY2E4MTEyZmNjOTMxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",133 min,"Comedy, Drama, Musical",R,7.3,79.0,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","113,480",
Zoey's Extraordinary Playlist,"https://m.media-amazon.com/images/M/MV5BMmY4OTE0NjQtMTAwOC00MWY2LWEyY2EtZjgxNTM4YmE2NDkwXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UX67_CR0,0,67,98_AL_.jpg",60 min,"Comedy, Drama, Musical",U,8.2,51.0,A young woman discovers she has the ability to hear the innermost thoughts of people around her as songs and musical numbers.,"7,576",
Mamma Mia!,"https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_UX67_CR0,0,67,98_AL_.jpg",108 min,"Comedy, Musical, Romance",U,6.4,51.0,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.,"209,300",$144.13M
Descendants,"https://m.media-amazon.com/images/M/MV5BMTA5MTE2Mzc5MjReQTJeQWpwZ15BbWU4MDk0Njg2ODUx._V1_UX67_CR0,0,67,98_AL_.jpg",112 min,"Comedy, Family, Fantasy",U,6.3,67.0,The teenage son of the king and queen of Auradon offers the trouble-making children of villains a chance to attend prep school in the kingdom.,"15,082",
Willy Wonka & the Chocolate Factory,"https://m.media-amazon.com/images/M/MV5BZTllNDU0ZTItYTYxMC00OTI4LThlNDAtZjNiNzdhMWZiYjNmXkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",100 min,"Family, Fantasy, Musical",U,7.8,67.0,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,"173,155",$4.00M
Les Misérables,"https://m.media-amazon.com/images/M/MV5BMTQ4NDI3NDg4M15BMl5BanBnXkFtZTcwMjY5OTI1OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",158 min,"Drama, History, Musical",A,7.6,63.0,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.","301,471",$148.81M
Mulan,"https://m.media-amazon.com/images/M/MV5BODkxNGQ1NWYtNzg0Ny00Yjg3LThmZTItMjE2YjhmZTQ0ODY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",88 min,"Animation, Adventure, Family",G,7.6,71.0,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","242,986",$120.62M
My Fair Lady,"https://m.media-amazon.com/images/M/MV5BNGM0ZTU3NmItZmRmMy00YWNjLWEzMWItYzg3MzcwZmM5NjdiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY98_CR2,0,67,98_AL_.jpg",170 min,"Drama, Family, Musical",G,7.8,95.0,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,"84,475",$72.00M
The Sound of Music,"https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR1,0,67,98_AL_.jpg",172 min,"Biography, Drama, Family",G,8.0,63.0,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,"197,748",$163.21M
Singin' in the Rain,"https://m.media-amazon.com/images/M/MV5BMWUyNjQ5MTAtNDJhYS00MWQ0LTk2ZTAtZmE4MWNlMjMwMzg3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",103 min,"Comedy, Musical, Romance",G,8.3,99.0,A silent film production company and cast make a difficult transition to sound.,"212,088",$8.82M
West Side Story,"https://m.media-amazon.com/images/M/MV5BMTM0NDAxOTI5MF5BMl5BanBnXkFtZTcwNjI4Mjg3NA@@._V1_UX67_CR0,0,67,98_AL_.jpg",153 min,"Crime, Drama, Musical",PG,7.5,86.0,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","94,257",$43.66M
The Wizard of Oz,"https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_UX67_CR0,0,67,98_AL_.jpg",102 min,"Adventure, Family, Fantasy",PG,8.0,100.0,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,"365,448",$2.08M
Descendants 3,"https://m.media-amazon.com/images/M/MV5BMjM1MTgyNDQyOF5BMl5BanBnXkFtZTgwOTgwMjQ4NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",106 min,"Adventure, Family, Musical",A,6.6,58.0,The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep.,"4,555",
Crazy Ex-Girlfriend,"https://m.media-amazon.com/images/M/MV5BYjQ0MjNiYjItMWFkNC00MTI5LTlhYTEtZWY3OGJhN2VhZjBmXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",42 min,"Comedy, Musical",A,7.8,58.0,"A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.","15,979",
The Rocky Horror Picture Show,"https://m.media-amazon.com/images/M/MV5BOGIzYjM3YzMtMjk5ZS00NDY2LTllMjEtNjYwZjhmMDNhMDBkXkEyXkFqcGdeQXVyODUzMjQxMTA@._V1_UX67_CR0,0,67,98_AL_.jpg",100 min,"Comedy, Musical",A,7.4,58.0,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,"128,369",$139.88M
Valley Girl,"https://m.media-amazon.com/images/M/MV5BMTNmMjAxMDItMTdmYS00ZmZmLWI3YjEtMDI1OGU0MTgwMjc4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",102 min,"Comedy, Musical, Romance",PG-13,5.4,53.0,"Set to a new wave '80s soundtrack, a pair of young lovers from different backgrounds defy their parents and friends to stay together. A musical adaptation of the 1983 film.","1,242",
Sing,"https://m.media-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_UX67_CR0,0,67,98_AL_.jpg",108 min,"Animation, Comedy, Family",U,7.1,59.0,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","128,799",$270.40M
Robin Hood: Men in Tights,"https://m.media-amazon.com/images/M/MV5BZGYyNmU2NmEtNGU1ZS00YjFkLWI0MWQtZjU2MmUxZDAyN2UxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",104 min,"Adventure, Comedy, Musical",U,6.7,44.0,"A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular.","113,522",$35.74M
Aladdin,"https://m.media-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX67_CR0,0,67,98_AL_.jpg",90 min,"Animation, Adventure, Comedy",U,8.0,86.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"362,445",$217.35M
High School Musical,"https://m.media-amazon.com/images/M/MV5BZmQ3MWEyNTYtOTY1OC00MTljLWI3OGUtMmU1ZDc2OTYxNDQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_UX67_CR0,0,67,98_AL_.jpg",98 min,"Comedy, Drama, Family",,5.4,,A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.,"78,560",
