title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
Love,"https://m.media-amazon.com/images/M/MV5BMTQzNDUwODk5NF5BMl5BanBnXkFtZTgwNzA0MDQ2NTE@._V1_UY98_CR1,0,67,98_AL_.jpg",135 min,"Drama, Romance",A,6.1,51.0,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","44,810",
Outlander,"https://m.media-amazon.com/images/M/MV5BNzE3ZTYxZWYtMjQ1Ny00MzFhLWI1MGMtMDZmMzYwYjc1OWQ0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",64 min,"Drama, Fantasy, Romance",A,8.4,68.0,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"114,225",
The Vampire Diaries,"https://m.media-amazon.com/images/M/MV5BMDk3YzgxNDQtNTEzOS00NDMyLWFlYmYtYTZlMDk1NDkxNmMyXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",43 min,"Drama, Fantasy, Horror",16+,7.7,68.0,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","273,380",
The Kissing Booth,"https://m.media-amazon.com/images/M/MV5BNjQ0Mzk0OTE5MF5BMl5BanBnXkFtZTgwNDkyOTI0NTM@._V1_UX67_CR0,0,67,98_AL_.jpg",105 min,"Comedy, Romance",16,6.0,68.0,A high school student is forced to confront her secret crush at a kissing booth.,"57,091",
Buffy the Vampire Slayer,"https://m.media-amazon.com/images/M/MV5BY2MwOGIyZGYtNzgxZC00N2Q5LTllYjItM2U4MTkwMDBjYzUyXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",44 min,"Action, Drama, Fantasy",PG-13,8.2,68.0,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.","125,162",
Clueless,"https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",97 min,"Comedy, Romance",PG-13,6.8,68.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","175,798",$56.63M
How I Met Your Mother,"https://m.media-amazon.com/images/M/MV5BNjg1MDQ5MjQ2N15BMl5BanBnXkFtZTYwNjI5NjA3._V1_UY98_CR3,0,67,98_AL_.jpg",22 min,"Comedy, Romance",15+,8.3,69.0,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"580,391",
How to Sell Drugs Online (Fast),"https://m.media-amazon.com/images/M/MV5BZjIzNTkyNjktNDdmMy00MmI4LWFlN2MtNDllYTVhZjljNWFiXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_UY98_CR5,0,67,98_AL_.jpg",30 min,"Comedy, Crime, Drama",18,7.9,69.0,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","14,479",
Scott Pilgrim vs. the World,"https://m.media-amazon.com/images/M/MV5BMTkwNTczNTMyOF5BMl5BanBnXkFtZTcwNzUxOTUyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",112 min,"Action, Comedy, Fantasy",PG-13,7.5,69.0,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,"365,724",$31.49M
Downton Abbey,"https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR1,0,67,98_AL_.jpg",58 min,"Drama, Romance",7+,8.7,41.0,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"156,241",
