title,image,runtime,genre,certificate,rating,metascore,description,votes,gross
The Karate Kid,"https://m.media-amazon.com/images/M/MV5BNTkzY2YzNmYtY2ViMS00MThiLWFlYTEtOWQ1OTBiOGEwMTdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",126 min,"Action, Drama, Family",U,7.2,60.0,"A boy and his mother move to California for a new job. He struggles to fit in, as a group of karate students starts to bully him for dating a rich girl from their clique. It's up to the Japanese landlord, Miyagi, to teach him karate.","169,116",$90.82M
Sonic the Hedgehog,"https://m.media-amazon.com/images/M/MV5BMDk5Yzc4NzMtODUwOS00NTdhLTg2MjEtZTkzZjc0ZWE2MzAwXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_UX67_CR0,0,67,98_AL_.jpg",99 min,"Action, Adventure, Comedy",U,6.6,47.0,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.","71,569",$146.07M
Harry Potter and the Goblet of Fire,"https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",157 min,"Adventure, Family, Fantasy",UA,7.7,81.0,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","527,747",$290.01M
Fantastic Beasts: The Crimes of Grindelwald,"https://m.media-amazon.com/images/M/MV5BYWVlMDI5N2UtZTIyMC00NjZkLWI5Y2QtODM5NGE5MzA0NmVjXkEyXkFqcGdeQXVyNzU3NjUxMzE@._V1_UX67_CR0,0,67,98_AL_.jpg",134 min,"Adventure, Family, Fantasy",UA,6.6,52.0,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.","207,326",$159.56M
Malcolm in the Middle,"https://m.media-amazon.com/images/M/MV5BNTc2MzM2N2YtZDdiOS00M2I2LWFjOGItMDM3OTA3YjUwNjAxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",22 min,"Comedy, Family",U,8.0,64.0,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.","113,352",
The Parent Trap,"https://m.media-amazon.com/images/M/MV5BNWYyMzJhNzEtMzFkNC00M2U0LTkwMWYtYWVkN2Y2MGI5ODZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",128 min,"Adventure, Comedy, Drama",U,6.5,64.0,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, later discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.","116,780",$66.31M
Maleficent,"https://m.media-amazon.com/images/M/MV5BMjAwMzAzMzExOF5BMl5BanBnXkFtZTgwOTcwMDA5MTE@._V1_UX67_CR0,0,67,98_AL_.jpg",97 min,"Action, Adventure, Family",U,7.0,56.0,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.","335,347",$241.41M
Sen to Chihiro no kamikakushi,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",125 min,"Animation, Adventure, Family",U,8.6,96.0,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","621,708",$10.06M
The Lorax,"https://m.media-amazon.com/images/M/MV5BMTU1MTAwMjk1NF5BMl5BanBnXkFtZTcwMDI5NDc4Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",86 min,"Animation, Adventure, Comedy",U,6.4,46.0,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.","95,952",$214.03M
Dolittle,"https://m.media-amazon.com/images/M/MV5BMDNkODA5ZGQtODczOS00OTQxLThhMTItMjk0ZmNhMDM0YjNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",101 min,"Adventure, Comedy, Family",U,5.6,26.0,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,"37,712",$77.05M
